book,chapter,verse,text,version
GEN,1,1,"Dios, en el principio,creó los cielos y la tierra.",NVI
GEN,1,2,"La tierra era un caos total,las tinieblas cubrían el abismo,y el Espíritu de Dios se movíasobre la superficie de las aguas.",NVI
GEN,1,3,Y dijo Dios: «¡Que exista la luz!»Y la luz llegó a existir.,NVI
GEN,1,4,Dios consideró que la luz era buenay la separó de las tinieblas.,NVI
GEN,1,5,"A la luz la llamó «día»,y a las tinieblas, «noche».Y vino la noche, y llegó la mañana:ese fue el primer día.",NVI
GEN,1,6,"Y dijo Dios: «¡Que exista el firmamentoen medio de las aguas, y que las separe!»",NVI
GEN,1,7,"Y así sucedió: Dios hizo el firmamentoy separó las aguas que están abajo,de las aguas que están arriba.",NVI
GEN,1,8,"Al firmamento Dios lo llamó «cielo».Y vino la noche, y llegó la mañana:ese fue el segundo día.",NVI
GEN,1,9,"Y dijo Dios: «¡Que las aguas debajo del cielose reúnan en un solo lugar,y que aparezca lo seco!»Y así sucedió. ",NVI
GEN,1,10,"A lo seco Dios lo llamó «tierra»,y al conjunto de aguas lo llamó «mar».Y Dios consideró que esto era bueno.",NVI
GEN,1,11,"Y dijo Dios: «¡Que haya vegetación sobre la tierra;que esta produzca hierbas que den semilla,y árboles que den su fruto con semilla,todos según su especie!»Y así sucedió. ",NVI
GEN,1,12,"Comenzó a brotar la vegetación:hierbas que dan semilla,y árboles que dan su fruto con semilla,todos según su especie.Y Dios consideró que esto era bueno.",NVI
GEN,1,13,"Y vino la noche, y llegó la mañana:ese fue el tercer día.",NVI
GEN,1,14,"Y dijo Dios: «¡Que haya luces en el firmamentoque separen el día de la noche;que sirvan como señales de las estaciones,de los días y de los años,",NVI
GEN,1,15,y que brillen en el firmamentopara iluminar la tierra!»Y sucedió así. ,NVI
GEN,1,16,"Dios hizo los dos grandes astros:el astro mayor para gobernar el día,y el menor para gobernar la noche.También hizo las estrellas.",NVI
GEN,1,17,Dios colocó en el firmamentolos astros para alumbrar la tierra.,NVI
GEN,1,18,"Los hizo para gobernar el día y la noche,y para separar la luz de las tinieblas.Y Dios consideró que esto era bueno.",NVI
GEN,1,19,"Y vino la noche, y llegó la mañana:ese fue el cuarto día.",NVI
GEN,1,20,"Y dijo Dios: «¡Que rebosen de seres vivientes las aguas,y que vuelen las aves sobre la tierraa lo largo del firmamento!»",NVI
GEN,1,21,"Y creó Dios los grandes animales marinos,y todos los seres vivientesque se mueven y pululan en las aguasy todas las aves,según su especie.Y Dios consideró que esto era bueno,",NVI
GEN,1,22,y los bendijo con estas palabras:«Sed fructíferos y multiplicaos;llenad las aguas de los mares.¡Que las aves se multipliquen sobre la tierra!»,NVI
GEN,1,23,"Y vino la noche, y llegó la mañana:ese fue el quinto día.",NVI
GEN,1,24,"Y dijo Dios: «¡Que produzca la tierra seres vivientes:animales domésticos, animales salvajesy reptiles, según su especie!»Y sucedió así. ",NVI
GEN,1,25,"Dios hizo los animales domésticos,los animales salvajes y todos los reptiles,según su especie.Y Dios consideró que esto era bueno,",NVI
GEN,1,26,"y dijo: «Hagamos al ser humanoa nuestra imagen y semejanza.Que tenga dominio sobre los peces del mar,y sobre las aves del cielo;sobre los animales domésticos,sobre los animales salvajes,y sobre todos los reptilesque se arrastran por el suelo».",NVI
GEN,1,27,"Y Dios creó al ser humano a su imagen;lo creó a imagen de Dios.Hombre y mujer los creó,",NVI
GEN,1,28,"y los bendijo con estas palabras:«Sed fructíferos y multiplicaos;llenad la tierra y sometedla;dominad a los peces del mar y a las aves del cielo,y a todos los reptiles que se arrastran por el suelo».",NVI
GEN,1,29,También les dijo: «Yo os doy de la tierratodas las plantas que producen semillay todos los árboles que dan fruto con semilla;todo esto os servirá de alimento.,NVI
GEN,1,30,"Y doy la hierba verde como alimentoa todas las fieras de la tierra,a todas las aves del cieloy a todos los seres vivientesque se arrastran por la tierra».Y así sucedió. ",NVI
GEN,2,1,"Así quedaron terminados los cielos y la tierra,y todo lo que hay en ellos.",NVI
GEN,2,2,"Al llegar el séptimo día, Dios descansóporque había terminado la obra que había emprendido.",NVI
GEN,2,3,"Dios bendijo el séptimo día, y lo santificóporque en ese día descansó de toda su obra creadora.",NVI
GEN,2,4,"Esta es la historia de la creaciónde los cielos y la tierra.Cuando Dios el Señor hizo la tierra y los cielos, ",NVI
GEN,2,5,"aún no había ningún arbusto del campo sobre la tierra, ni había brotado la hierba, porque Dios el Señor todavía no había hecho llover sobre la tierra ni existía el hombre para que la cultivara. ",NVI
GEN,2,6,"No obstante, salía de la tierra un manantial que regaba toda la superficie del suelo. ",NVI
GEN,2,7,"Y Dios el Señor formó al hombre del polvo de la tierra, y sopló en su nariz hálito de vida, y el hombre se convirtió en un ser viviente.",NVI
GEN,2,8,"Dios el Señor plantó un jardín al oriente del Edén, y allí puso al hombre que había formado. ",NVI
GEN,2,9,"Dios el Señor hizo que creciera toda clase de árboles hermosos, los cuales daban frutos buenos y apetecibles. En medio del jardín hizo crecer el árbol de la vida y también el árbol del conocimiento del bien y del mal.",NVI
GEN,2,10,"Del Edén nacía un río que regaba el jardín, y que desde allí se dividía en cuatro ríos menores. ",NVI
GEN,2,11,"El primero se llamaba Pisón, y recorría toda la región de Javilá, donde había oro. ",NVI
GEN,2,12,"El oro de esa región era fino, y también había allí resina muy buena y piedra de ónice. ",NVI
GEN,2,13,"El segundo se llamaba Guijón, que recorría toda la región de Cus.",NVI
GEN,2,14,"El tercero se llamaba Tigris, que corría al este de Asiria. El cuarto era el Éufrates.",NVI
GEN,2,15,"Dios el Señor tomó al hombre y lo puso en el jardín del Edén para que lo cultivara y lo cuidara, ",NVI
GEN,2,16,"y le dio este mandato: «Puedes comer de todos los árboles del jardín, ",NVI
GEN,2,17,"pero del árbol del conocimiento del bien y del mal no deberás comer. El día que de él comas, ciertamente morirás».",NVI
GEN,2,18,Luego Dios el Señor dijo: «No es bueno que el hombre esté solo. Voy a hacerle una ayuda adecuada». ,NVI
GEN,2,19,"Entonces Dios el Señor formó de la tierra toda ave del cielo y todo animal del campo, y se los llevó al hombre para ver qué nombre les pondría. El hombre les puso nombre a todos los seres vivos, y con ese nombre se les conoce. ",NVI
GEN,2,20,"Así el hombre fue poniéndoles nombre a todos los animales domésticos, a todas las aves del cielo y a todos los animales del campo. Sin embargo, no se encontró entre ellos la ayuda adecuada para el hombre.",NVI
GEN,2,21,"Entonces Dios el Señor hizo que el hombre cayera en un sueño profundo y, mientras este dormía, le sacó una costilla y le cerró la herida. ",NVI
GEN,2,22,"De la costilla que le había quitado al hombre, Dios el Señor hizo una mujer y se la presentó al hombre, ",NVI
GEN,2,23,el cual exclamó:«Esta sí es hueso de mis huesosy carne de mi carne.Se llamará “mujer”porque del hombre fue sacada».,NVI
GEN,2,24,"Por eso el hombre deja a su padre y a su madre, y se une a su mujer, y los dos se funden en un solo ser.",NVI
GEN,3,1,"La serpiente era más astuta que todos los animales del campo que Dios el Señor había hecho, así que le preguntó a la mujer:―¿Es verdad que Dios os dijo que no comierais de ningún árbol del jardín?",NVI
GEN,3,2,―Podemos comer del fruto de todos los árboles —respondió la mujer—. ,NVI
GEN,3,3,"Pero, en cuanto al fruto del árbol que está en medio del jardín, Dios nos ha dicho: “No comáis de ese árbol, ni lo toquéis; de lo contrario, moriréis”.",NVI
GEN,3,4,"Pero la serpiente le dijo a la mujer:―¡No es cierto, no vais a morir! ",NVI
GEN,3,5,"Dios sabe muy bien que, cuando comáis de ese árbol, se os abrirán los ojos y llegaréis a ser como Dios, conocedores del bien y del mal.",NVI
GEN,3,6,"La mujer vio que el fruto del árbol era bueno para comer, y que tenía buen aspecto y era deseable para adquirir sabiduría, así que tomó de su fruto y comió. Luego le dio a su esposo, y también él comió. ",NVI
GEN,3,7,"En ese momento se les abrieron los ojos y tomaron conciencia de su desnudez. Por eso, para cubrirse entretejieron hojas de higuera.",NVI
GEN,3,8,"Cuando el día comenzó a refrescar, oyeron el hombre y la mujer que Dios el Señor andaba recorriendo el jardín; entonces corrieron a esconderse entre los árboles, para que Dios no los viera. ",NVI
GEN,3,9,Pero Dios el Señor llamó al hombre y le dijo:―¿Dónde estás?,NVI
GEN,3,10,"El hombre contestó:―Escuché que andabas por el jardín, y tuve miedo porque estoy desnudo. Por eso me escondí.",NVI
GEN,3,11,―¿Y quién te ha dicho que estás desnudo? —le preguntó Dios—. ¿Acaso has comido del fruto del árbol que yo te prohibí comer?,NVI
GEN,3,12,"Él respondió:―La mujer que me diste por compañera me dio de ese fruto, y yo lo comí.",NVI
GEN,3,13,"Entonces Dios el Señor le preguntó a la mujer:―¿Qué es lo que has hecho?―La serpiente me engañó, y comí —contestó ella.",NVI
GEN,3,14,"Dios el Señor dijo entonces a la serpiente:«Por causa de lo que has hecho,¡maldita serás entre todos los animales,tanto domésticos como salvajes!Te arrastrarás sobre tu vientre,y comerás polvo todos los días de tu vida.",NVI
GEN,3,15,"Pondré enemistad entre tú y la mujer,y entre tu simiente y la de ella;su simiente te aplastará la cabeza,pero tú le morderás el talón».",NVI
GEN,3,16,"A la mujer le dijo:«Multiplicaré tus dolores en el parto,y darás a luz a tus hijos con dolor.Desearás a tu marido,y él te dominará».",NVI
GEN,3,17,"Al hombre le dijo:«Por cuanto le hiciste caso a tu mujer,y comiste del árbol del que te prohibí comer,¡maldita será la tierra por tu culpa!Con penosos trabajos comerás de ellatodos los días de tu vida.",NVI
GEN,3,18,"La tierra te producirá cardos y espinas,y comerás hierbas silvestres.",NVI
GEN,3,19,"Te ganarás el pan con el sudor de tu frente,hasta que vuelvas a la misma tierrade la cual fuiste sacado.Porque polvo eres,y al polvo volverás».",NVI
GEN,3,20,"El hombre llamó Eva a su mujer, porque ella sería la madre de todo ser viviente.",NVI
GEN,3,21,"Dios el Señor hizo ropa de pieles para el hombre y su mujer, y los vistió. ",NVI
GEN,3,22,"Y dijo: «El ser humano ha llegado a ser como uno de nosotros, pues tiene conocimiento del bien y del mal. No vaya a ser que extienda su mano y también tome del fruto del árbol de la vida, y lo coma y viva para siempre». ",NVI
GEN,3,23,"Entonces Dios el Señor expulsó al ser humano del jardín del Edén, para que trabajara la tierra de la cual había sido hecho. ",NVI
GEN,4,1,"El hombre se unió a su mujer Eva, y ella concibió y dio a luz a Caín. Y dijo: «¡Con la ayuda del Señor, he tenido un hijo varón!» ",NVI
GEN,4,2,"Después dio a luz a Abel, hermano de Caín. Abel se dedicó a pastorear ovejas, mientras que Caín se dedicó a trabajar la tierra. ",NVI
GEN,4,3,"Tiempo después, Caín presentó al Señor una ofrenda del fruto de la tierra. ",NVI
GEN,4,4,"Abel también presentó al Señor lo mejor de su rebaño, es decir, los primogénitos con su grasa. Y el Señor miró con agrado a Abel y a su ofrenda, ",NVI
GEN,4,5,pero no miró así a Caín ni a su ofrenda. Por eso Caín se enfureció y andaba cabizbajo.,NVI
GEN,4,6,Entonces el Señor le dijo: «¿Por qué estás tan enojado? ¿Por qué andas cabizbajo? ,NVI
GEN,4,7,"Si hicieras lo bueno, podrías andar con la frente en alto. Pero, si haces lo malo, el pecado te acecha, como una fiera lista para atraparte. No obstante, tú puedes dominarlo».",NVI
GEN,4,8,"Caín habló con su hermano Abel. Mientras estaban en el campo, Caín atacó a su hermano y lo mató.",NVI
