book,chapter,verse,text,version
PRO,1,1,"Proverbios de Salomón hijo de David, rey de Israel:",NVI
PRO,1,2,para adquirir sabiduría y disciplinapara discernir palabras de inteligencia;,NVI
PRO,1,3,"para recibir la corrección que dan la prudencia,la rectitud, la justicia y la equidad;",NVI
PRO,1,4,para infundir sagacidad en los inexpertosconocimiento y discreción en los jóvenes.,NVI
PRO,1,5,"Escuche esto el sabio, y aumente su saber;reciba dirección el entendido,",NVI
PRO,1,6,para discernir el proverbio y la parábolalos dichos de los sabios y sus enigmas.,NVI
PRO,1,7,El temor del Señor es el principio del conocimiento;los necios desprecian la sabiduría y la disciplina.,NVI
PRO,1,8,"Hijo mío, escucha las correcciones de tu padrey no abandones las enseñanzas de tu madre.",NVI
PRO,1,9,Adornarán tu cabeza como una diadema;adornarán tu cuello como un collar.,NVI
PRO,1,10,"Hijo mío, si los pecadores quieren engañarte,no vayas con ellos.",NVI
PRO,1,11,Estos te dirán:«¡Ven con nosotros!Acechemos a algún inocentey démonos el gusto de matar a algún incauto;,NVI
PRO,1,12,"traguémonos a alguien vivo,como se traga el sepulcro a la gentedevorémoslo entero,como devora la fosa a los muertos.",NVI
PRO,1,13,Obtendremos toda clase de riquezas;con el botín llenaremos nuestras casas.,NVI
PRO,1,14,"Comparte tu suerte con nosotros,y compartiremos contigo lo que obtengamos».",NVI
PRO,1,15,"¡Pero no te dejes llevar por ellos, hijo mío!¡Apártate de sus senderos!",NVI
PRO,1,16,Pues corren presurosos a hacer lo malo;¡tienen prisa por derramar sangre!,NVI
PRO,1,17,"De nada sirve tender la reda la vista de todos los pájaros,",NVI
PRO,1,18,pero aquellos acechan su propia viday acabarán por destruirse a sí mismos.,NVI
PRO,1,19,Así terminan los que van tras ganancias mal adquiridas;por estas perderán la vida.,NVI
PRO,1,20,Clama la sabiduría en las calles;en los lugares públicos levanta su voz.,NVI
PRO,1,21,Clama en las esquinas de calles transitadas;a la entrada de la ciudad razona:,NVI
PRO,1,22,"«¿Hasta cuándo, muchachos inexpertosseguiréis aferrados a vuestra inexperiencia?¿Hasta cuándo, vosotros los insolentesos complaceréis en vuestra insolencia?¿Hasta cuándo, vosotros los necios,aborreceréis el conocimiento?",NVI
PRO,1,23,"Responded a mis reprensiones,y yo os abriré mi corazón;os daré a conocer mis pensamientos.",NVI
PRO,1,24,"Como vosotros no me atendisteis cuando os llamé,ni me hicisteis caso cuando os tendí la mano,",NVI
PRO,1,25,"sino que rechazasteis todos mis consejosy no acatasteis mis reprensiones,",NVI
PRO,1,26,"ahora yo me burlaré de vosotroscuando caigáis en desgracia.Yo seré quien se ría de vosotroscuando os sobrevenga el miedo,",NVI
PRO,1,27,cuando el miedo os sobrevenga como una tormentay la desgracia os arrastre como un torbellino.,NVI
PRO,1,28,"»Entonces me llamarán, pero no les responderé;me buscarán, pero no me encontrarán.",NVI
PRO,1,29,Por cuanto aborrecieron el conocimientoy no quisieron temer al Señor,NVI
PRO,1,30,"por cuanto no siguieron mis consejos,sino que rechazaron mis reprensiones,",NVI
PRO,1,31,"cosecharán el fruto de su conducta,se hartarán con sus propias intrigas;",NVI
PRO,1,32,"¡su descarrío e inexperiencia los destruirán,su complacencia y necedad los aniquilarán!",NVI
PRO,2,1,"Hijo mío, si haces tuyas mis palabrasy atesoras mis mandamientos;",NVI
PRO,2,2,si tu oído inclinas hacia la sabiduríay de corazón te entregas a la inteligencia;,NVI
PRO,2,3,si llamas a la inteligenciay pides discernimiento;,NVI
PRO,2,4,"si la buscas como a la plata,como a un tesoro escondido,",NVI
PRO,2,5,entonces comprenderás el temor del Señory hallarás el conocimiento de Dios.,NVI
PRO,2,6,Porque el Señor da la sabiduría;conocimiento y ciencia brotan de sus labios.,NVI
PRO,2,7,Él reserva su ayuda para la gente íntegray protege a los de conducta intachable.,NVI
PRO,2,8,Él cuida el sendero de los justosy protege el camino de sus fieles.,NVI
PRO,2,9,"Entonces comprenderás la justicia y el derecho,la equidad y todo buen camino;",NVI
PRO,2,10,"la sabiduría vendrá a tu corazón,y el conocimiento te endulzará la vida.",NVI
PRO,2,11,"La discreción te cuidará,la inteligencia te protegerá.",NVI
PRO,2,12,"La sabiduría te librará del camino de los malvados,de los que profieren palabras perversas,",NVI
PRO,2,13,"de los que se apartan del camino rectopara andar por sendas tenebrosas,",NVI
PRO,2,14,"de los que se complacen en hacer lo maloy festejan la perversidad,",NVI
PRO,2,15,de los que andan por caminos torcidosy por sendas extraviadas;,NVI
PRO,2,16,"te librará de la mujer ajena,de la extraña de palabras seductoras",NVI
PRO,2,17,"que, olvidándose de su pacto con Dios,abandona al compañero de su juventud.",NVI
PRO,2,18,Ciertamente su casa conduce a la muerte;sus sendas llevan al reino de las sombras.,NVI
PRO,2,19,"El que se enreda con ella no vuelve jamás,ni alcanza los senderos de la vida.",NVI
PRO,2,20,Así andarás por el camino de los buenosy seguirás la senda de los justos.,NVI
PRO,2,21,"Pues los íntegros, los perfectos,habitarán la tierra y permanecerán en ella.",NVI
PRO,3,1,"Hijo mío, no te olvides de mis enseñanzasmás bien, guarda en tu corazón mis mandamientos.",NVI
PRO,3,2,Porque prolongarán tu vida muchos añosy te traerán prosperidad.,NVI
PRO,3,3,Que nunca te abandonen el amor y la verdad:llévalos siempre alrededor de tu cuelloy escríbelos en el libro de tu corazón.,NVI
PRO,3,4,Contarás con el favor de Diosy tendrás buena fama entre la gente,NVI
PRO,3,5,"Confía en el Señor de todo corazón,y no en tu propia inteligencia.",NVI
PRO,3,6,Reconócelo en todos tus caminosy él allanará tus sendas.,NVI
PRO,3,7,"No seas sabio en tu propia opinión;más bien, teme al Señor y huye del mal.",NVI
PRO,3,8,Esto infundirá salud a tu cuerpoy fortalecerá tu ser.,NVI
PRO,3,9,Honra al Señor con tus riquezasy con los primeros frutos de tus cosechas.,NVI
PRO,3,10,Así tus graneros se llenarán a reventary tus bodegas rebosarán de vino nuevo.,NVI
PRO,3,11,"Hijo mío, no desprecies la disciplina del Señorni te ofendas por sus reprensiones.",NVI
PRO,3,12,"Porque el Señor disciplina a los que ama,como corrige un padre a su hijo querido.",NVI
PRO,3,13,"Dichoso el que halla sabiduría,el que adquiere inteligencia.",NVI
PRO,3,14,Porque ella es de más provecho que la platay rinde más ganancias que el oro.,NVI
PRO,3,15,Es más valiosa que las piedras preciosas:¡ni lo más deseable se le puede comparar!,NVI
PRO,3,16,"Con la mano derecha ofrece larga vida;con la izquierda, honor y riquezas.",NVI
PRO,3,17,Sus caminos son placenterosy en sus senderos hay paz,NVI
PRO,3,18,Ella es árbol de vida para quienes la abrazan;¡dichosos los que la retienen!,NVI
PRO,3,19,"Con sabiduría afirmó el Señor la tierra,con inteligencia estableció los cielos.",NVI
PRO,3,20,"Por su conocimiento se separaron las aguas,y las nubes dejaron caer su rocío.",NVI
PRO,3,21,"Hijo mío, conserva el buen juicio;no pierdas de vista la discreción.",NVI
PRO,3,22,"Te serán fuente de vida,te adornarán como un collar.",NVI
PRO,3,23,"Podrás recorrer tranquilo tu camino,y tus pies no tropezarán.",NVI
PRO,3,24,"Al acostarte, no tendrás temor alguno;te acostarás y dormirás tranquilo.",NVI
PRO,3,25,"No temerás ningún desastre repentino,ni la desgracia que sobreviene a los impíos.",NVI
PRO,3,26,Porque el Señor estará siempre a tu ladoy te librará de caer en la trampa.,NVI
PRO,3,27,No niegues un favor a quien te lo pidasi en tu mano está el otorgarlo.,NVI
PRO,3,28,"Nunca digas a tu prójimo:«Vuelve más tarde; te ayudaré mañana»,si hoy tienes con qué ayudarlo.",NVI
PRO,3,29,"No urdas el mal contra tu prójimo,contra el que ha puesto en ti su confianza.",NVI
PRO,3,30,No entres en pleito con nadieque no te haya hecho ningún daño.,NVI
PRO,3,31,"No envidies a los violentos,ni optes por andar en sus caminos.",NVI
PRO,3,32,"Porque el Señor aborrece al perverso,pero al íntegro le brinda su amistad.",NVI
PRO,3,33,"La maldición del Señor cae sobre la casa del malvado;su bendición, sobre el hogar de los justos.",NVI
PRO,3,34,El Señor se burla de los burlonespero muestra su favor a los humildes.,NVI
PRO,4,1,"Escuchad, hijos, la corrección de un padre;disponeos a adquirir inteligencia.",NVI
PRO,4,2,"Yo os brindo buenas enseñanzas,así que no abandonéis mi instrucción.",NVI
PRO,4,3,"Cuando yo era pequeño y vivía con mi padre,cuando era el niño consentido de mi madre,",NVI
PRO,4,4,"mi padre me instruyó de esta manera:«Aférrate de corazón a mis palabras;obedece mis mandamientos, y vivirás.",NVI
PRO,4,5,"Adquiere sabiduría, adquiere inteligencia;no olvides mis palabras ni te apartes de ellas.",NVI
PRO,4,6,"No abandones nunca a la sabiduría,y ella te protegerá;ámala, y ella te cuidará.",NVI
PRO,4,7,"La sabiduría es lo primero. ¡Adquiere sabiduría!Por encima de todas las cosas, adquiere discernimiento.",NVI
PRO,4,8,"Estima a la sabiduría, y ella te exaltará;abrázala, y ella te honrará;",NVI
PRO,4,9,te pondrá en la cabeza una hermosa diadema;te obsequiará con una bella corona».,NVI
PRO,4,10,"Escucha, hijo mío, acoge mis palabras,y los años de tu vida aumentarán.",NVI
PRO,4,11,"Yo te guío por el camino de la sabiduría,te dirijo por sendas de rectitud.",NVI
PRO,4,12,"Cuando camines, no encontrarás obstáculos;cuando corras, no tropezarás.",NVI
PRO,4,13,"Aférrate a la instrucción, no la dejes escapar;cuídala bien, porque ella es tu vida.",NVI
PRO,4,14,No sigas la senda de los perversosni vayas por el camino de los malvados.,NVI
PRO,4,15,"¡Evita ese camino! ¡No pases por él!¡Aléjate de allí, y sigue adelante!",NVI
PRO,4,16,Los malvados no duermen si no hacen lo malo;pierden el sueño si no hacen que alguien caiga.,NVI
PRO,4,17,"Su pan es la maldad;su vino, la violencia.",NVI
PRO,4,18,La senda de los justos se asemejaa los primeros albores de la aurora:su esplendor va en aumentohasta que el día alcanza su plenitud.,NVI
PRO,4,19,Pero el camino de los malvadoses como la más densa oscuridad;¡ni siquiera saben con qué tropiezan!,NVI
PRO,4,20,"Hijo mío, atiende a mis consejos;escucha atentamente lo que digo.",NVI
