level,orient,lemma,pos,pol,std
1,positive,acertado,a,0.708,0.149
1,positive,admirable,a,0.906,0.125
1,positive,admiración,n,0.45,0.331
1,positive,admirar,v,0.75,0.177
1,positive,afectivo,a,0.375,0.0
1,positive,afecto,n,0.321,0.112
1,positive,afectuoso,a,0.563,0.131
1,positive,afición,n,0.5,0.425
1,positive,afortunado,a,0.813,0.063
1,positive,agradable,a,0.75,0.181
1,positive,agradecido,a,0.5,0.125
1,positive,alegrar,v,0.458,0.315
1,positive,alegre,a,0.661,0.185
1,positive,alentador,a,0.594,0.0
1,positive,alentar,v,0.275,0.418
1,positive,amable,a,0.688,0.165
1,positive,amar,v,1.0,0.0
1,positive,amistoso,a,0.708,0.125
1,positive,amor,n,0.278,0.171
1,positive,animado,a,0.494,0.276
1,positive,animar,v,0.289,0.232
1,positive,apacible,a,0.313,0.161
1,positive,apasionado,a,0.469,0.12
1,positive,apego,n,0.375,0.0
1,positive,aprecio,n,0.344,0.161
1,positive,aprobar,v,0.375,0.292
1,positive,ardiente,a,0.313,0.213
1,positive,atractivo,a,0.844,0.134
1,positive,beneficio,n,0.396,0.351
1,positive,benevolencia,n,0.438,0.277
1,positive,benevolente,a,0.313,0.177
1,positive,bien,a,0.833,0.144
1,positive,bien,n,0.35,0.459
1,positive,bienestar,n,0.531,0.258
1,positive,bondad,n,0.25,0.267
1,positive,bonito,a,0.75,0.217
1,positive,buen,a,0.734,0.2
1,positive,bueno,a,0.833,0.267
1,positive,cariñoso,a,0.438,0.188
1,positive,cautivado,a,0.438,0.0
1,positive,cautivador,a,0.594,0.438
1,positive,cercano,a,0.354,0.2
1,positive,comodidad,n,0.406,0.298
1,positive,compañerismo,n,0.25,0.191
1,positive,competente,a,0.589,0.315
1,positive,complacencia,n,0.688,0.177
1,positive,complacer,v,0.475,0.326
1,positive,complaciente,a,0.643,0.159
1,positive,confianza,n,0.375,0.267
1,positive,confortar,v,0.375,0.0
1,positive,consolar,v,0.375,0.0
1,positive,contentarse,v,0.375,0.177
1,positive,contento,a,0.778,0.127
1,positive,correcto,a,0.806,0.125
1,positive,cortés,a,0.667,0.184
1,positive,cuidadoso,a,0.521,0.102
1,positive,cálido,a,0.411,0.257
1,positive,cándido,a,0.35,0.306
1,positive,cómodo,a,0.469,0.217
1,positive,decente,a,0.571,0.2
1,positive,deleitarse,v,0.475,0.143
1,positive,diestro,a,0.625,0.331
1,positive,disfrutar,v,0.536,0.225
1,positive,divertido,a,0.653,0.132
1,positive,divertir,v,0.281,0.239
1,positive,divertirse,v,0.542,0.361
1,positive,dulce,a,0.518,0.385
1,positive,emotivo,a,0.313,0.051
1,positive,encantado,a,0.417,0.129
1,positive,encantador,a,0.833,0.083
1,positive,entusiasmo,n,0.661,0.295
1,positive,entusiasta,a,0.6,0.105
1,positive,estima,n,0.521,0.188
1,positive,estimulante,a,0.5,0.143
1,positive,estimular,v,0.262,0.242
1,positive,euforia,n,0.531,0.161
1,positive,eufórico,a,0.344,0.329
1,positive,excelente,a,0.75,0.088
1,positive,excitante,a,0.425,0.137
1,positive,experto,a,0.833,0.144
1,positive,fascinación,n,0.438,0.354
1,positive,fascinante,a,0.5,0.413
1,positive,favorable,a,0.844,0.188
1,positive,favorecer,v,0.268,0.254
1,positive,felicidad,n,0.708,0.191
1,positive,feliz,a,0.719,0.176
1,positive,ferviente,a,0.5,0.12
1,positive,fiable,a,0.75,0.088
1,positive,firmeza,n,0.278,0.268
1,positive,gozar,v,0.458,0.072
1,positive,gracioso,a,0.625,0.112
1,positive,gratificante,a,0.75,0.191
1,positive,gustar,v,0.406,0.415
1,positive,gusto,n,0.266,0.369
1,positive,honorable,a,0.583,0.072
1,positive,honrado,a,0.667,0.171
1,positive,honrar,v,0.5,0.191
1,positive,hábil,a,0.875,0.125
1,positive,ideal,a,0.425,0.385
1,positive,idóneo,a,0.7,0.154
1,positive,interés,n,0.321,0.352
1,positive,jovial,a,0.775,0.137
1,positive,joya,n,0.458,0.191
1,positive,jubiloso,a,0.563,0.088
1,positive,justo,a,0.675,0.163
1,positive,júbilo,n,0.542,0.26
1,positive,magnífico,a,0.804,0.159
1,positive,mañoso,a,0.563,0.258
1,positive,minucioso,a,0.438,0.125
1,positive,optimismo,n,0.458,0.331
1,positive,optimista,a,0.781,0.157
1,positive,placentero,a,0.875,0.177
1,positive,plácido,a,0.25,0.177
1,positive,positivo,a,0.594,0.258
1,positive,preferencia,n,0.281,0.063
1,positive,prometedor,a,0.875,0.102
1,positive,provecho,n,0.328,0.313
1,positive,reconfortante,a,0.375,0.063
1,positive,recrear,v,0.313,0.421
1,positive,recto,a,0.438,0.301
1,positive,refrescar,v,0.25,0.2
1,positive,regocijado,a,0.667,0.125
1,positive,regocijar,v,0.875,0.177
1,positive,regocijarse,v,0.313,0.088
1,positive,regocijo,n,0.25,0.326
1,positive,respetable,a,0.906,0.12
1,positive,saludable,a,0.768,0.098
1,positive,sano,a,0.8,0.112
1,positive,satisfacer,v,0.578,0.236
1,positive,satisfactorio,a,0.75,0.161
1,positive,satisfecho,a,0.6,0.168
1,positive,seductor,a,0.7,0.163
1,positive,seguro,a,0.255,0.227
1,positive,sereno,a,0.297,0.124
1,positive,simpatía,n,0.354,0.292
1,positive,simpático,a,0.653,0.289
1,positive,solazar,v,0.375,0.0
1,positive,sonriente,a,1.0,0.0
1,positive,sosegado,a,0.292,0.144
1,positive,superior,a,0.4,0.22
1,positive,ternura,n,0.313,0.12
1,positive,tierno,a,0.375,0.224
1,positive,tranquilizar,v,0.333,0.144
1,positive,tónico,a,0.375,0.368
1,positive,utilidad,n,0.344,0.331
1,positive,vigorizante,a,0.625,0.125
1,positive,vigorizar,v,0.375,0.224
1,positive,útil,a,0.563,0.131
1,negative,abatir,v,-0.554,0.047
1,negative,abochornado,a,-0.25,0.0
1,negative,abochornar,v,-0.5,0.072
1,negative,abominación,n,-0.425,0.056
1,negative,aborrecer,v,-0.625,0.088
1,negative,aborrecimiento,n,-0.425,0.056
1,negative,acongojarse,v,-0.687,0.088
1,negative,acosar,v,-0.304,0.061
1,negative,aflicción,n,-0.606,0.109
1,negative,afligido,a,-0.396,0.113
1,negative,afligir,v,-0.675,0.04
1,negative,afligirse,v,-0.687,0.088
1,negative,agravar,v,-0.281,0.217
1,negative,agresividad,n,-0.35,0.068
1,negative,alarmar,v,-0.25,0.0
1,negative,alboroto,n,-0.25,0.09
1,negative,amargura,n,-0.5,0.125
1,negative,angustia,n,-0.589,0.112
1,negative,angustiado,a,-0.65,0.112
1,negative,antipatía,n,-0.542,0.094
1,negative,antipático,a,-0.333,0.105
1,negative,apesadumbrado,a,-0.5,0.0
1,negative,apocamiento,n,-0.406,0.188
1,negative,apurarse,v,-0.35,0.088
1,negative,arrepentido,a,-0.5,0.0
1,negative,arriesgado,a,-0.25,0.142
1,negative,asco,n,-0.357,0.072
1,negative,asquear,v,-0.437,0.0
1,negative,asqueroso,a,-0.575,0.143
1,negative,atormentar,v,-0.391,0.129
1,negative,atroz,a,-0.672,0.146
1,negative,avergonzado,a,-0.25,0.0
1,negative,avergonzar,v,-0.375,0.12
1,negative,aversión,n,-0.359,0.08
1,negative,cabreado,a,-0.75,0.0
1,negative,celoso,a,-0.25,0.177
1,negative,colérico,a,-0.458,0.131
1,negative,confundir,v,-0.333,0.091
1,negative,congoja,n,-0.75,0.072
1,negative,conmoción,n,-0.354,0.151
1,negative,consternado,a,-0.375,0.161
1,negative,contrariedad,n,-0.656,0.188
1,negative,contrito,a,-0.5,0.0
1,negative,crueldad,n,-0.525,0.056
1,negative,culpabilidad,n,-1.0,0.0
1,negative,culpable,a,-0.312,0.265
1,negative,dañino,a,-0.437,0.157
1,negative,decaído,a,-0.375,0.072
1,negative,defectuoso,a,-0.431,0.127
1,negative,degradante,a,-0.375,0.213
1,negative,deplorar,v,-0.406,0.177
1,negative,deprimente,a,-1.0,0.0
1,negative,deprimir,v,-0.687,0.0
1,negative,desagradable,a,-0.65,0.151
1,negative,desagradar,v,-0.625,0.088
1,negative,desagrado,n,-0.667,0.125
1,negative,desalentador,a,-0.333,0.289
1,negative,desalentar,v,-0.589,0.094
1,negative,desaliento,n,-0.325,0.105
1,negative,desamparo,n,-0.275,0.105
1,negative,desaprobar,v,-0.292,0.188
1,negative,desasosiego,n,-0.344,0.12
1,negative,desconsolado,a,-0.875,0.088
1,negative,descuido,n,-0.281,0.131
1,negative,desdicha,n,-0.547,0.08
1,negative,desdichado,a,-0.35,0.143
1,negative,desdén,n,-0.363,0.099
1,negative,desesperado,a,-0.625,0.19
1,negative,deshonroso,a,-0.3,0.163
1,negative,desolado,a,-0.562,0.265
1,negative,despreciable,a,-0.406,0.174
1,negative,despreciar,v,-0.396,0.151
1,negative,desprecio,n,-0.406,0.115
1,negative,desánimo,n,-0.312,0.112
1,negative,detestar,v,-0.667,0.072
1,negative,devastador,a,-0.45,0.068
1,negative,difícil,a,-0.667,0.125
1,negative,disgustado,a,-0.437,0.063
1,negative,disgustar,v,-0.5,0.0
1,negative,disuadir,v,-0.25,0.0
1,negative,dolor,n,-0.488,0.102
1,negative,dolorido,a,-0.719,0.102
1,negative,doloroso,a,-0.625,0.131
1,negative,encolerizar,v,-0.437,0.088
1,negative,enemistad,n,-0.281,0.072
1,negative,enfadado,a,-0.625,0.088
1,negative,enfadar,v,-0.25,0.0
1,negative,enfurecer,v,-0.375,0.072
1,negative,enojado,a,-0.5,0.0
1,negative,enojar,v,-0.437,0.088
1,negative,enojoso,a,-0.875,0.088
1,negative,entristecer,v,-0.375,0.0
1,negative,escalofriante,a,-0.333,0.166
1,negative,espantar,v,-0.286,0.098
1,negative,espantoso,a,-0.643,0.134
1,negative,exacerbación,n,-0.375,0.072
1,negative,exasperar,v,-0.525,0.163
1,negative,fastidiar,v,-0.359,0.065
1,negative,fastidioso,a,-0.75,0.153
1,negative,fatal,a,-0.275,0.185
1,negative,frustrado,a,-0.5,0.0
1,negative,frío,n,-0.292,0.144
1,negative,furia,n,-0.4,0.105
1,negative,furioso,a,-0.3,0.143
1,negative,harto,a,-0.25,0.0
1,negative,hastío,n,-0.281,0.111
1,negative,herir,v,-0.458,0.072
1,negative,histeria,n,-0.437,0.12
1,negative,horrible,a,-0.429,0.177
1,negative,horripilante,a,-0.4,0.198
1,negative,horror,n,-0.354,0.117
1,negative,horrorizar,v,-0.437,0.088
1,negative,horroroso,a,-0.5,0.173
1,negative,hostigar,v,-0.35,0.056
1,negative,hostilidad,n,-0.344,0.102
1,negative,humillar,v,-0.458,0.072
1,negative,impaciencia,n,-0.333,0.191
1,negative,impotencia,n,-0.25,0.12
1,negative,inadecuado,a,-0.288,0.138
1,negative,inclemente,a,-0.25,0.289
1,negative,incomodar,v,-0.425,0.068
1,negative,incómodo,a,-0.271,0.146
1,negative,inoportuno,a,-0.361,0.153
1,negative,inquietante,a,-0.375,0.161
1,negative,inquieto,a,-0.275,0.147
1,negative,inquina,n,-0.25,0.0
1,negative,insatisfecho,a,-0.5,0.102
1,negative,inseguridad,n,-0.437,0.188
1,negative,insuficiente,a,-0.375,0.0
1,negative,intolerable,a,-0.25,0.144
1,negative,iracundo,a,-0.583,0.072
1,negative,irascible,a,-0.562,0.063
1,negative,irritación,n,-0.417,0.088
1,negative,irritante,a,-0.5,0.185
1,negative,irritar,v,-0.361,0.108
1,negative,lamentable,a,-0.4,0.205
1,negative,mal_humor,n,-0.5,0.12
1,negative,malhumor,n,-0.531,0.102
1,negative,malicia,n,-0.375,0.112
1,negative,maligno,a,-0.469,0.161
1,negative,malévolo,a,-0.775,0.137
1,negative,melancolía,n,-0.375,0.259
1,negative,melancólico,a,-0.5,0.0
1,negative,menospreciar,v,-0.268,0.159
1,negative,menosprecio,n,-0.304,0.098
1,negative,miedoso,a,-0.5,0.125
1,negative,miserable,a,-0.333,0.16
1,negative,misoneísmo,n,-0.25,0.0
1,negative,mohína,n,-0.312,0.0
1,negative,molestar,v,-0.458,0.042
1,negative,molesto,a,-0.538,0.158
1,negative,monstruoso,a,-0.396,0.129
1,negative,mosqueado,a,-0.75,0.0
1,negative,nauseabundo,a,-0.25,0.088
1,negative,negro,a,-0.403,0.159
1,negative,nocivo,a,-0.437,0.213
1,negative,odiar,v,-1.0,0.0
1,negative,odio,n,-0.5,0.177
1,negative,ofender,v,-0.594,0.125
1,negative,ofensivo,a,-0.429,0.191
1,negative,opresión,n,-0.375,0.177
1,negative,oscuro,a,-0.575,0.154
1,negative,pavor,n,-0.437,0.088
1,negative,pena,n,-0.458,0.104
1,negative,penoso,a,-0.321,0.173
1,negative,perjudicial,a,-0.455,0.175
1,negative,perturbar,v,-0.406,0.093
1,negative,pesadumbre,n,-0.575,0.105
1,negative,pesar,n,-0.562,0.104
1,negative,pesaroso,a,-0.437,0.0
1,negative,pesimismo,n,-0.333,0.144
1,negative,pesimista,a,-0.312,0.088
1,negative,problema,n,-0.437,0.128
1,negative,pánico,n,-0.292,0.217
1,negative,quemazón,n,-0.281,0.177
1,negative,rabia,n,-0.271,0.123
1,negative,recelo,n,-0.25,0.105
1,negative,rechazar,v,-0.26,0.154
1,negative,rencor,n,-0.542,0.144
1,negative,repelo,n,-0.312,0.0
1,negative,repugnancia,n,-0.406,0.08
1,negative,repugnante,a,-0.422,0.177
1,negative,repulsivo,a,-0.25,0.072
1,negative,resentimiento,n,-0.594,0.12
1,negative,sombrío,a,-0.5,0.134
1,negative,temer,v,-0.583,0.0
1,negative,temeroso,a,-0.375,0.131
1,negative,temible,a,-0.417,0.144
1,negative,tener_miedo,v,-0.562,0.0
1,negative,terrible,a,-0.562,0.133
1,negative,tormento,n,-0.482,0.061
1,negative,trastorno,n,-0.375,0.079
1,negative,tribulación,n,-0.281,0.12
1,negative,triste,a,-0.509,0.154
1,negative,tristeza,n,-0.45,0.256
1,negative,vergüenza,n,-0.375,0.102
1,negative,vilipendio,n,-0.917,0.0
2,positive,a_gusto,a,0.75,0.0
2,positive,adorador,a,0.5,0.0
2,positive,afectividad,n,0.625,0.0
2,positive,afectuosidad,n,0.375,0.0
2,positive,agradado,a,0.75,0.0
2,positive,agradar,v,0.708,0.25
2,positive,alborozar,v,1.0,0.0
2,positive,alegrarse,v,1.0,0.0
2,positive,altruista,a,0.25,0.0
2,positive,amativo,a,0.25,0.0
2,positive,amigable,a,0.542,0.125
2,positive,amoroso,a,0.625,0.088
2,positive,animarse,v,0.25,0.505
2,positive,aprobado,a,0.5,0.0
2,positive,aprobativo,a,1.0,0.0
2,positive,aprobatorio,a,1.0,0.0
2,positive,arrebatador,a,0.875,0.0
2,positive,autocomplacencia,n,0.625,0.0
2,positive,benefactor,a,0.938,0.088
2,positive,beneficencia,n,0.688,0.265
2,positive,beneficioso,a,0.917,0.072
2,positive,benéfico,a,0.625,0.354
2,positive,benévolo,a,0.438,0.088
2,positive,buen_humor,n,0.813,0.177
2,positive,buena_voluntad,n,0.5,0.265
2,positive,bueno,n,0.5,0.53
2,positive,cariñosamente,r,0.375,0.177
2,positive,complacido,a,0.438,0.088
2,positive,confiadamente,a,0.5,0.0
2,positive,confort,n,0.5,0.0
2,positive,contentamiento,n,0.5,0.0
2,positive,contento,n,0.5,0.0
2,positive,convencido,a,0.25,0.177
2,positive,dar_confianza,v,0.5,0.0
2,positive,dar_ánimos,v,0.75,0.289
2,positive,desahogado,a,0.375,0.0
2,positive,devoto,a,0.5,0.265
2,positive,embebecimiento,n,0.5,0.0
2,positive,embeleso,n,0.375,0.072
2,positive,embriagar,v,0.5,0.619
2,positive,encandilamiento,n,0.313,0.088
2,positive,esperanzador,a,1.0,0.0
2,positive,estimulador,a,0.75,0.0
2,positive,exuberancia,n,0.625,0.354
2,positive,exultación,n,0.375,0.0
2,positive,fervoroso,a,0.75,0.0
2,positive,fraternal,a,0.375,0.0
2,positive,fraterno,a,0.375,0.0
2,positive,fácil,r,0.25,0.0
2,positive,fácilmente,r,0.25,0.0
2,positive,gratificar,v,0.417,0.505
2,positive,gratitud,n,0.417,0.375
2,positive,habilidoso,a,0.875,0.177
2,positive,hilarante,a,0.625,0.0
2,positive,hilaridad,n,0.375,0.0
2,positive,jocundidad,n,0.5,0.0
2,positive,jovialidad,n,0.583,0.25
2,positive,lealtad,n,0.313,0.088
2,positive,motivar,v,0.25,0.088
2,positive,optimístico,a,0.875,0.0
2,positive,placidez,n,0.25,0.088
2,positive,predilección,n,0.375,0.0
2,positive,regocijador,a,0.625,0.0
2,positive,risueño,a,0.833,0.144
2,positive,saciable,a,0.625,0.0
2,positive,satisfacible,a,0.625,0.0
2,positive,satisfecho_de_sí_mismo,a,0.875,0.0
2,positive,suertudo,a,0.75,0.0
2,positive,superior,n,0.375,0.177
2,positive,tranquilizado,a,0.5,0.0
2,positive,tranquilizador,a,0.313,0.088
2,positive,triunfo,n,0.25,0.0
2,positive,triunfal,a,0.375,0.354
2,positive,triunfante,a,0.563,0.0
2,positive,ufano,a,0.438,0.265
2,positive,venturoso,a,0.875,0.0
2,positive,victorioso,a,0.583,0.072
2,positive,vigorizador,a,0.625,0.177
2,positive,vitorear,v,0.375,0.0
2,negative,abatido,a,-0.312,0.088
2,negative,abatimiento,n,-0.375,0.088
2,negative,abominar,v,-0.375,0.088
2,negative,aborrecible,a,-0.25,0.0
2,negative,acosar_sexualmente,v,-0.375,0.0
2,negative,acoso,n,-0.5,0.0
2,negative,agravado,a,-0.375,0.177
2,negative,airado,a,-0.5,0.0
2,negative,alarmado,a,-0.25,0.0
2,negative,alterado,a,-0.375,0.144
2,negative,angustiosamente,r,-0.75,0.0
2,negative,animadversión,n,-0.5,0.088
2,negative,ansiosamente,r,-0.5,0.0
2,negative,apenado,a,-0.458,0.125
2,negative,apenar,v,-0.281,0.144
2,negative,apenarse,v,-0.875,0.0
